phrase1,phrase2,sentence1,sentence2,label,idx
single end,game match,"""Tuesday, February 18, 1:30 pm""
New Brunswick's seven-ender scored against Manitoba was the most points scored in a single end in Tournament of Hearts history.","""Tuesday, February 18, 1:30 pm""
New Brunswick's seven-ender scored against Manitoba was the most points scored in a game match in Tournament of Hearts history.",1,1860
lightning strokes,incredibly rapid swings,"Moran's stick work was described as attempts to ""slash [other players'] heads off with lightning strokes of his blade"".","Moran's stick work was described as attempts to ""slash [other players'] heads off with incredibly rapid swings of his blade"".",1,353
commercial material,Marketable substance,commercial material used in foods is produced industrially by a glycerolysis reaction between triglycerides (from either vegetable or animal fats) and glycerol.,Marketable substance used in foods is produced industrially by a glycerolysis reaction between triglycerides (from either vegetable or animal fats) and glycerol.,1,1333
song time,melody hours,their sudden withdrawal in 1135 in response to the death of jin emperor taizong gave the song time to regroup.,their sudden withdrawal in 1135 in response to the death of jin emperor taizong gave the melody hours to regroup.,1,905
respective side,individual faction,Many people who were directly involved in the conflict were selected to be commissioners in order to represent their respective side of the conflicts.,Many people who were directly involved in the conflict were selected to be commissioners in order to represent their individual faction of the conflicts.,1,1289
pit managers,center leaders,"To maximise success for the gambling house, casino games are designed to be easy for croupiers to operate and for pit managers to oversee.","To maximise success for the gambling house, casino games are designed to be easy for croupiers to operate and for center leaders to oversee.",0,1273
different space,separate environment,Rubert's ideology stems from Spanish painting tradition where images are meant to create the illusion of a different space or dimension.,Rubert's ideology stems from Spanish painting tradition where images are meant to create the illusion of a separate environment or dimension.,1,938
daily diet,day-to-day food,"French readers were treated to a daily diet of rumour, speculation and character assassination presented as ""echos"" and ""faits divers"".","French readers were treated to a day-to-day food of rumour, speculation and character assassination presented as ""echos"" and ""faits divers"".",0,1731
exposure limits,financial risk restrictions,"After the initial stabilisation period of five years, and after a review, RBI may relax the above exposure limits.","After the initial stabilisation period of five years, and after a review, RBI may relax the above financial risk restrictions.",1,65
landing mat,safety pad,"A 3,700' long north/south apron sat to the southwest of the landing mat, and west of the apron was the building area.","A 3,700' long north/south apron sat to the southwest of the safety pad, and west of the apron was the building area.",0,1323
major degrees,considerable severity,In cases of fetal distress and major degrees (traditional grade III and IV) a caesarean section is indicated.,In cases of fetal distress and considerable severity (traditional grade III and IV) a caesarean section is indicated.,1,56
similar record,comparable account,"A similar record in the 2010-11 season saw the Men's team promoted to NBL Division 1, where they have remained since.","A comparable account in the 2010-11 season saw the Men's team promoted to NBL Division 1, where they have remained since.",0,1292
primary hand,dominant paw,Fisher is reputed to have had a primary hand in establishing up to 150 libertarian think-tanks around the world.,Fisher is reputed to have had a dominant paw in establishing up to 150 libertarian think-tanks around the world.,0,1118
moderate resistance,average opposition,"There, they encountered moderate resistance as they captured San Mateo and Montalban.","There, they encountered average opposition as they captured San Mateo and Montalban.",1,584
small field,grass clearing,"Wrafton is a large hamlet narrowly separated by a small field from edge of the main local village centre, that of Braunton to the west.","Wrafton is a large hamlet narrowly separated by a grass clearing from edge of the main local village centre, that of Braunton to the west.",1,374
high depression,increased despondency,"The valley is a high depression in the mountains of southwestern Lake County, and is much cooler than surrounding areas.","The valley is a increased despondency in the mountains of southwestern Lake County, and is much cooler than surrounding areas.",0,275
big brand,name brand,wearing a watch of big brand) in order to gain social approval and intrinsic satisfaction.,wearing a watch of name brand) in order to gain social approval and intrinsic satisfaction.,1,746
particular division,exclusive branch,This particular division of David Brown's produced gearboxes for industrial machinery and hydraulic drives and some military armoured vehicles.,This exclusive branch of David Brown's produced gearboxes for industrial machinery and hydraulic drives and some military armoured vehicles.,1,128
remaining sign,lasting indication,"Verification of death is often done multiple times, to prevent doctors from overlooking any remaining sign of life, however small.","Verification of death is often done multiple times, to prevent doctors from overlooking any lasting indication of life, however small.",1,1646
highest spot,most elevated position,"Symbolically, the library and its soaring academic gothic tower occupy the highest spot on the grounds.","Symbolically, the library and its soaring academic gothic tower occupy the most elevated position on the grounds.",1,1852
good round,positive game,It makes a good round about at St Judes School and returns to Kwekwe-Gokwe Highway as Champeni-St Judes Road.,It makes a positive game about at St Judes School and returns to Kwekwe-Gokwe Highway as Champeni-St Judes Road.,0,674
preliminary understanding,basic conclusion,One similarity between them all was the preliminary understanding that the stars were fixed and immobile in the universe.,One similarity between them all was the basic conclusion that the stars were fixed and immobile in the universe.,1,1664
death party,celebration of life,The tradition of this death party is also a place to glue the big family of Mamasa's noble lineage together.,The tradition of this celebration of life is also a place to glue the big family of Mamasa's noble lineage together.,1,1981
special board,distinct association,Each piece is placed on a special board with a carved pattern to give the dough its intended form.,Each piece is placed on a distinct association with a carved pattern to give the dough its intended form.,0,1083
green stage,festival platform,Cells in the green stage also have less organic and inorganic particles on their surface compared to mature cysts.,Cells in the festival platform also have less organic and inorganic particles on their surface compared to mature cysts.,0,1922
complete answer,entire response,"Radical critics keep asking ""why, why, why"" very thoroughly, until they reach a complete answer to the puzzle of why things appear as they do.","Radical critics keep asking ""why, why, why"" very thoroughly, until they reach a entire response to the puzzle of why things appear as they do.",0,99
another sack,a further raid,"Out of fear of another sack of Rome, Paul IV agreed to the Duke of Alba's demand for the Papal States to declare neutrality.","Out of fear of a further raid of Rome, Paul IV agreed to the Duke of Alba's demand for the Papal States to declare neutrality.",1,1179
past examinations,previous exams,"These findings differ from past examinations, like the 2008 Morisake et al.","These findings differ from previous exams, like the 2008 Morisake et al.",0,964
initial case,earliest instance,Eolas won the initial case in August 2003 and was awarded damages of $ from Microsoft.,Eolas won the earliest instance in August 2003 and was awarded damages of $ from Microsoft.,0,792
battery fire,combustion of its power supply,"During the 2019 World Solar Challenge, Black Mamba suffered a battery fire.","During the 2019 World Solar Challenge, Black Mamba suffered a combustion of its power supply.",1,29
little news,some disclosures,"In week 10 after the general elections, talks continued in The Hague again with little news to report.","In week 10 after the general elections, talks continued in The Hague again with some disclosures to report.",0,628
group order,set sequence,"A cycle graph for a cyclic group is simply a circular graph, where the group order is equal to the number of nodes.","A cycle graph for a cyclic group is simply a circular graph, where the set sequence is equal to the number of nodes.",1,944
central fire,chief star,This first row of houses was constructed in a traditional Scottish style with a central fire and a wide chimney.,This first row of houses was constructed in a traditional Scottish style with a chief star and a wide chimney.,0,572
closest match,near fit,"Ireland next won the 2016 Prague tournament, again with a perfect 6–0 record, with the closest match being the 24–0 semifinal win over Romania.","Ireland next won the 2016 Prague tournament, again with a perfect 6–0 record, with the near fit being the 24–0 semifinal win over Romania.",0,907
stronger tone,powerful vocal inflection,"In a musical sense, confidence can translate into a stronger tone, more self-assured entrances, and a better stage presence.","In a musical sense, confidence can translate into a powerful vocal inflection, more self-assured entrances, and a better stage presence.",1,1080
fourth class,4th category,The fourth class had a shield and a spear.,The 4th category had a shield and a spear.,1,450
reference date,noteworthy day,The second possibility is to trigger the measurement as soon as the reference date (wish date or first confirmed date) elapsed within a period.,The second possibility is to trigger the measurement as soon as the noteworthy day (wish date or first confirmed date) elapsed within a period.,0,1609
physical love,bodily affection,"Parents have a role, not only to give physical love, but also to give spiritual life to their offspring.","Parents have a role, not only to give bodily affection, but also to give spiritual life to their offspring.",1,1290
military fighter,trained soldier,"More the scrapping street tough, than a military fighter, he is employed by Dwarkin Extermination Company.","More the scrapping street tough, than a trained soldier, he is employed by Dwarkin Extermination Company.",1,1078
actual coverage,genuine airtime,"In a political atmosphere this applies to the presentation of policies and the issues they address, along with the actual coverage by media and politicians.","In a political atmosphere this applies to the presentation of policies and the issues they address, along with the genuine airtime by media and politicians.",1,254
major importance,critical value,"For most sperm recipients, anonymity of the donor is not of major importance at the obtainment or tryer-stage.","For most sperm recipients, anonymity of the donor is not of critical value at the obtainment or tryer-stage.",0,124
enemy armor,protective clothing of the foe,The U.S. Special Ops teams used SOFLAM Laser Target Designators to identify targets for air strikes on the enemy armor and artillery.,The U.S. Special Ops teams used SOFLAM Laser Target Designators to identify targets for air strikes on the protective clothing of the foe and artillery.,0,1927
unique group,distinct set,Polydnaviruses are a unique group of insect viruses that have a mutualistic relationship with some parasitic wasps.,Polydnaviruses are a distinct set of insect viruses that have a mutualistic relationship with some parasitic wasps.,1,251
bright line,clear limit,"Pupa: ""Green, with silver spots and a bright line of the same colour along the sides of the dorsal triangle.""","Pupa: ""Green, with silver spots and a clear limit of the same colour along the sides of the dorsal triangle.""",0,585
first pass,initial run,"Snow said, astonished: ""The sea level location gave us extra horsepower, and we went 200.88 mph on the first pass.","Snow said, astonished: ""The sea level location gave us extra horsepower, and we went 200.88 mph on the initial run.",1,1568
weight transfer,the movement of the load,"In general, important components of foot action during a dance step are foot movement, foot placement, and weight transfer.","In general, important components of foot action during a dance step are foot movement, foot placement, and the movement of the load.",0,824
additional example,add-on to this evidence,"Consider an additional example:
In the first trial, the issue is whether John attempted to kill Monica.","Consider an add-on to this evidence:
In the first trial, the issue is whether John attempted to kill Monica.",1,507
second issue,further problem,"The second issue was funded via a Kickstarter campaign launched October 10, 2013.","The further problem was funded via a Kickstarter campaign launched October 10, 2013.",0,889
separate seat,different chair,"The Armenian Catholics regained their separate seat, which was elected from the same constituency.","The Armenian Catholics regained their different chair, which was elected from the same constituency.",0,70
big cut,huge laceration,Shinashi suffered a broken jaw and a cheekbone fracture from the punch and a big cut from her face hitting the canvas.,Shinashi suffered a broken jaw and a cheekbone fracture from the punch and a huge laceration from her face hitting the canvas.,1,1608
personal identification,self recognition,"Authorities will also compare supportive documents such as a driver's license, passport, or other authoritative photo ID before accepting a personal identification.","Authorities will also compare supportive documents such as a driver's license, passport, or other authoritative photo ID before accepting a self recognition.",0,1532
broader organization,larger group,These funerary practices have helped anthropologists understand the broader organization and structure of Sicán society and religion.,These funerary practices have helped anthropologists understand the larger group and structure of Sicán society and religion.,0,247
great key,grand tool to open doors,"the doctor wants the great key of rassilon, but there is no record of it.","the doctor wants the grand tool to open doors of rassilon, but there is no record of it.",1,1450
