id,sentence1,sentence2,label
2216,"Ayurveda Eye Hospital is an Ayurvedic eye clinic and hospital in Trivandrum ( Thiruvananthapuram ) , Kerala , India .","Ayurveda eye clinic is an Ayurvedic eye hospital and a hospital in Thiruvananthapuram ( Trivandrum ) , Kerala , India .",1
2583,"Days can be humid , windy , and cold , while nights can be frigid and humid .","Days can be humid , windy and cold , while nights can be cold and humid .",1
1663,"In 1994 , Sherman left UCLA to coach the Texas A & M offensive line , which included former Baltimore Ravens pro bowler Jonathan Ogden .","In 1994 , Sherman Texas left A & amp ; M to train the UCLA Offensive Line , which included former Baltimore Ravens Pro Bowler Jonathan Ogden .",0
3028,"To get there , take the Marine Drive from the Lions Gate Bridge to the west , past the Horseshoe Bay , Lighthouse Park and continue on to the 7100 Marine Drive block .","To get there , take Marine Drive west from the Lions Gate Bridge past Lighthouse Park to Horseshoe Bay and then continue on to 7100 Block Marine Drive .",0
4344,"However , rapid or complex `` pedal parts must be '' choreographed `` by the organist '' and `` carefully planned if they are to be successful '' .","However , quick or complex pedal parts must be `` choreographed '' and `` carefully planned by the organist if they are to be successful '' .",1
2681,Windsor -- Tecumseh was created in 2003 from parts of Essex and the Windsor -- St. Clair gratings .,Windsor -- Tecumseh was created in 2003 from parts of Windsor and the Essex -- St. Clair ridings .,0
1766,"He was born in Wanganui , and died in a Dunedin private hospital .",He was born in Wanganui and died in a private hospital of Dunedin .,1
1124,There were several competing organisations on the radical republican side of Irish politics during this period .,"During that period , there were several competing organisations on the radical - Republican side of Irish politics .",1
4055,"A staunch nationalist himself , Morarji Desai was opposed to such movements , including the Mahagujarat Movement led by Indulal Yagnik demanding a new state of Gujarat .","Indulal Yagnik , himself a convinced nationalist , was opposed to such movements , including the Mahagujarat movement , led by Morarji Desai , who demands a new state of Gujarat .",0
3762,The Ducin River is a tributary of the Ducinoiu River in Romania .,The river Ducinoiu is a tributary of the Ducin River in Romania .,0
1536,"The Meads of Asphodel is a British black metal band with pronounced medieval influences , eastern , punk and progressive metal from Hertfordshire in the United Kingdom .","The Meads of Asphodel are a British black metal band with pronounced medieval , Eastern , Punk , and Progressive Metal influences from Hertfordshire in the United Kingdom .",1
2945,It lies nine miles from Chester and 11 miles from Wrexham .,It 's nine miles from Chester and 11 miles from Wrexham .,1
2988,"The video includes appearances by Slim Thug , Paul Wall , K- Rino , Willie D , Nikki Jean and Bun B with Lupe Fiasco .","The video includes appearances by Slim Thug , Paul Wall , K-Rino , Willie D , Nikki Jean , and Bun B with Lupe Fiasco .",1
4292,"Østfold Arbeiderblad was a Norwegian newspaper , published in Sarpsborg in Østfold county .",Østfold Arbeiderblad was a Norwegian newspaper published in Sarpsborg in the county of Østfold .,1
4343,"In 2008 , STX Europe was acquired by Aker Yards .",Aker Yards was acquired by STX Europe in 2008 .,0
4425,"In May 1808 he was then returned for Tain Burghs , a seat he held until 1812 , and successfully represented Buckingham until 1827 .","In May 1808 he was then returned to Tain Burghs , a seat that he held until 1812 and successfully represented Buckingham until 1827 .",1
7942,The two above controls are active : they are either boolean or not .,The two controls mentioned above are boolean : they are either active or not active .,0
4998,Lamas is the capital city of the province of Lamas in the San Martín region of northern Peru .,"Lamas is the capital of the San Martín region , located in the province of Lamas in northern Peru .",0
2749,"In the Western United States , the sombrero had a high conical or plush crown with a saucer-shaped brim , highly embroidered and made of cylindrical felt .","In the western United States , the Sombrero had a high conical or cylindrical crown with a bowl-shaped cream , highly embroidered and made of plush felt .",0
2303,"To promote the album , Thicke toured with John Legend and then opened for India.Arie in late 2006 .","To promote the album , Thicke toured with India.Arie and then opened John Legend in late 2006 .",0
3933,"The first landing in Wau was possessed by Ernest Mustar on April 19 , 1927 in a De Havilland DH.37 by Guinea Gold Airways from Lae Airfield .","The first landing in Lae Airfield was possessed by Ernest Mustar on April 19 , 1927 in a De Havilland DH.37 by Guinea Gold Airways from Wau .",0
5957,"Born in 1841 in Lawrence County , Arkansas , Gardenhire moved to Marion County , Tennessee with his family when he was 10 .","Born in 1841 in Lawrence County , Arkansas , Gardenhire and his family moved to Marion County , Tennessee , when he was 10 years old .",1
6132,The Ducinoiu River is a tributary of the Ducin River in Romania .,The river Ducinoiu is a tributary of the Ducin River in Romania .,1
7597,"Other collectors soon followed including the tastemaking Potter Palmers of Chicago and Isabella Stewart Gardner ( 1840 -- 1924 ) of Boston , all arranged by Sarah Hallowell .","Other collectors followed soon , including the flavors Potter Palmers of Chicago and Isabella Stewart Gardner ( 1840 -- 1924 ) from Boston , all arranged by Sarah Hallowell .",1
795,"Iijärvi - Lake ( Ristijärvi ) is a medium-sized lake in the main catchment area of Oulujoki , located in the Kainuu region of northern Finland .","Iijärvi - Lake ( Ristijärvi ) is a medium-sized lake in the main catchment area of Kainuu and is located in the region of Oulujoki , northern Finland .",0
3164,"It is a remake of `` Imperio de Cristal '' , produced by Jaime García Estrada and the writers Carlos Sotomayor and Orlando Merino in 1994 .","It is a remake of `` Imperio de cristal '' , produced by Carlos Sotomayor and writers Jaime Garcia Estrada and Orlando Merino in 1994 .",0
7941,"Particularly dense erosion occurred in warmer melting periods during the ice ages , when tundra climate reigned and the soil was not protected by a strong cover of vegetation .","Particularly dense erosion occurred in warmer melting periods during the ice ages , when the climate of the tundra prevailed and the soil was not protected by a strong vegetation .",1
3182,"Hector O ’ apos ; Neill ran on 5 August 2017 in a special election for mayor of Guaynabo to replace former mayor Angel Perez , but lost against Carmelo Ríos .","Carmelo Ríos candidated on 5 August 2017 in a special election for mayor of Guaynabo to replace former mayor Hector O 'Neill , but lost against Angel Perez .",0
764,It operates as train number 12009 from Ahmedabad Junction to Mumbai Central and as train number 12010 in the reverse direction .,It runs as train number 12009 from Mumbai Central to Ahmedabad Junction and as train number 12010 in the opposite direction .,0
3079,"Therefore , the Electronic library of the Academy as an integral part of the educational process and scientific activity is a recognized virtual channel into the global information environment .","The Academy 's electronic library , as an integral part of the educational process and scientific activity , is therefore a recognized virtual channel in the global information environment .",1
812,Bhagat Beni also said that the guru Arjan Dev has only obtained enlightenment through the Holy Word .,Guru Arjan Dev also said that Bhagat Beni has obtained enlightenment only through the Holy Word .,0
7260,"The SAARC secretariat was inaugurated on 16 January 1987 in Kathmandu , and was set up by the late King Birendra Bir Bikram Shah of Nepal .","The SAARC secretariat was founded on January 16 , 1987 in Kathmandu and inaugurated by the late King Birendra Bir Bikram Shah of Nepal .",0
6932,"`` Housemeeting '' , a book by Lano and Woodley , was published in 1996 by Penguin Books , with illustrations by Andrew Denton and a preface by Woodley .","`` Housemeeting '' , a book by Lano and Woodley , was published by Penguin Books in 1996 , with illustrations by Andrew Denton and a foreword by Woodley .",1
1619,"Gore claims to be the `` trout capital of Oklahoma '' , with great fishing in Lake Tenkiller , the Illinois River , and the Arkansas River .","Gore claims to be the `` trout capital of Oklahoma '' , with great fishing at Lake Tenkiller , the Illinois River , and the Arkansas River .",1
6827,"The directed reading and thinking activity is a very similar strategy that can be mastered . Once this strategy is applied and students become more advanced , independent readers .","The targeted reading and thinking activity is a very similar strategy , which can be mastered : once this strategy is applied and students become more advanced , independent readers .",1
1043,Quechua - Arequipa -- Collao Quechua is spoken in Cusco .,The Quechua variety spoken in Arequipa is Cusco -- Collao Quechua .,0
5319,The station was opened in 1845 as Weardale Railway by Bishop Auckland and Junction .,The station opened as Weardale Railway in 1845 by the Bishop Auckland and Junction .,1
4795,"He was graduated in 1872 from Mansfield College and the Legal Department of Cumberland University , Lebanon , Tennessee .","He was graduated from Mansfield College , and from the law department of Cumberland University , Lebanon , Tennessee , in 1872 .",1
488,"The family first moved to Halifax , later moving to Virginia with his father in May 1750 .","The family moved to Virginia first , later they moved to Halifax with his father in May 1750 .",0
1018,"Knavesmire Primary School is located on Knavesmire Road , at the southern end of Campleshon Road .","The Knavesmire Primary School is located in Campleshon Road , on the southern end of Knavesmire Road .",0
2816,This electrification has since been extended further north to Waikanae in 1983 and again to Paraparaumu in 2011 .,"This electrification has been expanded further north to Waikanae since 1983 , and in 2011 to Paraparaumu again .",1
2717,"Before 2017 the municipality was located in the district of Disentis des districts Surselva , after 2017 it was part of the Surselva region .","Before 2017 , the municipality was located in the Disentis sub-district of the Surselva district , after 2017 it was part of the Surselva Region .",1
5364,The manuscript was added to the list of New Testament manuscripts by Scrivener ( 616 ) and Gregory ( 902 ) .,The manuscript was added to the list of manuscripts of the New Testament by Scrivener ( 616 ) and Gregory ( 902 ) .,1
2930,"After their death in June 1938 , in 1940 he married George Graham , daughter of Jessie .","After her death in June 1938 he married secondly George Graham , daughter of Jessie , in 1940 .",1
3363,The route is now Pennsylvania Route 287 from Tioga to U.S. Route 15 northeast of Larrys Creek and Pennsylvania Route 328 from US 15 to PA 549 .,The route is now Pennsylvania Route 287 from Larrys Creek to US Route 15 northeast of Tioga and Pennsylvania Route 328 from U.S. 15 to PA 549 .,0
5166,"Bassist Joe Principe and guitarist Dan Wleklinski were still interested in making music , and decided to found a new band .",The bassist Dan Wleklinski and the guitarist Joe Principe were still interested in music and decided to start a new band .,0
1076,"The book collects fourteen Jorkens - stories , nineteen essays and two pieces by the author , including two of his short stories , with an introductory foreword by Schweitzer .","The book collects fourteen short stories , nineteen essays and two plays by the author , including two of his Jorkens - stories , with an introductory preface by Schweitzer .",0
6399,The mine Río Blanco is a large copper mine in the north of Peru in the region Loreto .,The Río Blanco mine is a large copper mine located in the north of Loreto Region in Peru .,0
4982,The girls see Redcoat and follow her to Alison 's garden and she turns around and we discover that it 's Spencer and that she is not dead .,The girls see Redcoat and follow her to Alison 's garden and she turns around and we discover that it is Spencer and that she is not dead .,1
6229,"Frederick Winslow Hatch was born August 1 , 1789 , in Blandford , Massachusetts , the son of Lucretia Rockwell and Timothy Hatch .","Lucretia Rockwell was born on August 1 , 1789 in Blandford , Massachusetts , the son of Frederick Winslow Hatch and Timothy Hatch .",0
2922,"Between 1885 and 1978 , the following ships were used from Malta to Gozo :","Between 1885 and 1978 , the following vessels were used as ferries from Gozo to Malta :",0
4020,The river Dorolea is a tributary of the Cuşma River in Romania .,The river Cuşma is a tributary of the River Dorolea in Romania .,0
4332,"Liv meets Tyler to ask him to leave her brother , Tyler apologizes and tells her that he is also trying to deal with the new reality .","Tyler meets Liv to ask him to leave her brother alone , Tyler apologizes and tells her that he is also trying to deal with the new reality .",0
7000,He started with the Dayton Dragons in 2015 and played with Dayton in 2016 before being transported to Daytona Tortugas during the season .,He started in 2015 with the Dayton Dragons and played 2016 with Dayton before being promoted to the Daytona Tortugas during the season .,1
1323,"There is also the `` nesoryzomys '' , '' nesoryzomys indefessus '' , known from Santa Cruz , other species of the species survive on other islands .","The others known from Santa Cruz `` Nesoryzomys '' , '' Nesoryzomys indefessus '' , are also extinct there , other species of the genus survive on different islands .",0
7732,Kironde Katiti Kironde 's daughter was the first African - American covergirl of a women 's magazine .,Kironde 's daughter Katiti Kironde was the first African-American covergirl of a women 's magazine .,1
2253,The film was produced by Stuart Legg and directed by John Taylor .,The film was produced and directed by John Taylor by Stuart Legg .,0
6655,"A circumpolar star in the winter sky of the northern hemisphere , visible to observers north of 44 ° N .","A prominent star in the winter sky of the northern hemisphere , it is circumpolar for observers to the north of 44 ° N .",0
7245,"When the police refused , they entered to throw out the CORE group .","When the police refused , they entered to kick the CORE group out .",1
867,Alappuzha constituency is part of Alappuzha ( Lok Sabha constituency ; the other constituency of Lok Sabha in the district is Mavelikkara,Mavelikkara assembly constituency is part of Alappuzha ( Lok Sabha constituency ) . The other Lok Sabha constituency of the district is Alappuzha .,0
5592,"Kurt Cobain had wanted Seattle rock band Nirvana to be the opening act , but frontman Axl Rose refused .","Axl Rose wanted Seattle rock band Nirvana to be the opening act , but frontman Kurt Cobain refused .",0
2466,These 11 Yoga Upanishads belong to Vedantic shaka ( school ) from the Vedic point of view .,"From a Vedic point of view , these 11 yoga upanishads belong to the Vedantic shaka ( school ) .",1
466,Pienaar received great acclaim in the Afrikaans community thanks to the efforts of Amore Bekker and RSG with this program .,"Thanks to the efforts of Pienaar and RSG with this program , Amore Bekker received great support in the Afrikaans community .",0
2883,At the bottom of the hydrometer there is a small lamp bulb and at the top is a pan for weights .,At the bottom of the hydrometer is a small bulb and at the top is a pan for weighted weights .,1
4962,It links Kumarakom and Cochin to the south and Quilon to the north .,It connects Kumarakom and Cochin to the north and Quilon in the south .,0
7043,"In time , Las Vegas became the new `` American Gretna Green , '' although hundreds of people are still married in Elkton each year .","Over time , Las Vegas became the new `` American Gretna Green '' , although hundreds of people are still married in Elkton each year .",1
6241,"Two years later , Hari Singh Nalwa , as Governor of Kashmir , settled down the rebellion of the most annoying Khakha chief , Gulam Ali .","Two years later , as Governor of Kashmir , Hari Singh Nalwa put down the rebellion of the most troublesome Khakha chief , Gulam Ali .",1
5448,"Brazil proposed a military alliance to Rosas : Rosas would take Uruguay with Argentine support , and Brazil would take the Riograndese Republic with Brazilian support .","Brazil proposed a military alliance with Rosas : Rosas would take over Uruguay with Brazilian support , and Brazil would take the Republic of Riograndese with Argentine support .",0
1503,There is insufficient evidence to support the use of advanced fish oil for the treatment of cachexia associated with oral cancer .,There is insufficient evidence to support the use of advanced fish oil for the management of cachexia associated with oral cancer .,1
3916,"Łapino is a non-operational PKP railway station in Łapino ( Pomeranian Voivodeship ) , Poland .","Łapino is a non-operational PKP station in Łapino ( Pomeranian Voivodeship ) , Poland .",1
3263,"This electrification has been extended further north to Paraparaumu since 1983 , and in 2011 back to Waikanae .",This electrification has been expanded since 1983 further north to Waikanae and in 2011 to Paraparaumu again .,0
264,"At the club level , Europe has not developed as a technical game and is aware of money and Latin America .","At club level , Europe has not developed as a technical game and aware of the money and in Latin America .",1
3807,"In 1933 , Ahlfors published a short proof of what is now called the `` Denjoy -- Carleman '' theorem .","In 1933 , Carleman published a short proof of what Denjoy -- Carleman -- Ahlfors Theorem is called today .",0
4085,Yau has created an open set of influential problems in geometry .,Yau has compiled an influential set of open problems in geometry .,0
7840,"Kemal Sunal was married to Gül Sunal and he had two children , Ali and Ezo Sunal .","He was married to Gul Sunal and had two children , Kemal Sunal and Ezo Sunal .",0
1812,"Turtle Creek is a neighborhood running along Turtle Creek Boulevard and adjacent Oak Lawn in the Turtle Creek area of Dallas , Texas ( USA ) .","Turtle Creek is a neighborhood running along Turtle Creek and the adjacent Turtle Creek Boulevard in the Oak Lawn area of Dallas , Texas ( USA ) .",0
1145,It was chosen as the 7th best film at the 19th Yokohama Film Festival .,It was selected at the 7th Yokohama Film Festival as the 19th best film .,0
